City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
314,siniscola,40.5719,9.6922,29.75,34,49,2.67,IT,1689808256
315,dul'durga,50.6761,113.5931,16.0,54,7,1.3,RU,1689808256
316,petropavlovsk-kamchatsky,53.0452,158.6483,13.33,94,100,5.0,RU,1689808256
317,palmer,42.1584,-72.3287,27.34,56,20,2.57,US,1689808257
318,aoulef,26.9667,1.0833,37.64,10,0,9.27,DZ,1689808257
319,kenai,60.5544,-151.2583,16.05,88,100,5.14,US,1689808257
320,noumea,-22.2763,166.4572,19.99,77,56,5.47,NC,1689807939
321,castillos,-34.1667,-53.8333,8.71,84,100,3.03,UY,1689808257
322,siwa oasis,29.2041,25.5195,31.36,19,0,4.03,EG,1689808257
323,crescent city,41.756,-124.2018,19.85,82,100,3.6,US,1689808258
324,puerto deseado,-47.7503,-65.8938,5.37,79,88,4.66,AR,1689808258
325,shizunai-furukawacho,42.3339,142.3669,20.23,87,53,0.41,JP,1689808258
326,el granada,37.5027,-122.4694,31.08,75,75,8.75,US,1689808044
327,sibolga,1.7427,98.7792,24.34,91,100,1.08,ID,1689808258
328,duba,27.3513,35.6901,30.79,48,0,2.97,SA,1689808258
329,kangding,30.0513,101.9603,14.8,92,100,1.31,CN,1689808258
330,bouarfa,32.53,-1.95,29.69,12,1,3.8,MA,1689808259
331,ondjiva,-17.0667,15.7333,12.38,31,0,3.4,AO,1689808259
332,prabumulih,-3.45,104.25,22.0,96,96,1.28,ID,1689808259
333,parral,26.9333,-105.6667,33.44,15,0,5.1,MX,1689807970
334,leava,-14.3,-178.1667,27.19,81,92,7.4,WF,1689808259
335,selfoss,63.9331,-20.9971,11.69,68,73,3.77,IS,1689808260
336,lerwick,60.1545,-1.1494,10.0,87,100,8.8,GB,1689808260
337,kuhdasht,33.535,47.6061,24.82,15,0,2.09,IR,1689808260
338,ierapetra,35.01,25.7353,27.66,55,0,3.66,GR,1689808260
339,lubang,13.8584,120.124,28.31,74,93,2.45,PH,1689808260
340,sinabang,2.4803,96.3801,24.92,90,100,3.13,ID,1689808260
341,medina,24.4686,39.6142,35.24,13,0,5.66,SA,1689808261
342,tsiombe,-25.3,45.4833,18.2,91,0,2.38,MG,1689808041
343,pamandzi,-12.7967,45.2794,24.88,83,0,7.2,YT,1689808261
344,tual,-5.6667,132.75,26.37,80,40,8.85,ID,1689808261
345,nizhneudinsk,54.9076,99.0276,13.66,76,100,0.75,RU,1689808261
346,ouahigouya,13.5828,-2.4216,27.81,66,96,7.48,BF,1689808261
347,owando,-0.4819,15.8999,24.57,76,78,2.35,CG,1689808262
348,kratie,12.4881,106.0188,23.85,97,100,1.16,KH,1689808262
349,sharypovo,55.5403,89.2008,13.58,77,0,2.33,RU,1689808263
350,juba,4.8517,31.5825,22.46,74,72,1.26,SS,1689808263
351,shubarkuduk,49.1447,56.4872,23.02,44,86,2.56,KZ,1689808263
352,kiffa,16.6166,-11.4045,34.1,39,13,5.31,MR,1689808263
353,fuerte olimpo,-21.0415,-57.8738,19.42,53,0,1.77,PY,1689808264
354,cedeira,43.6797,-8.0209,17.99,85,34,4.97,ES,1689808264
355,egilsstadir,65.2653,-14.3948,3.95,93,40,2.57,IS,1689808264
356,phan rang-thap cham,11.5667,108.9833,25.77,84,93,1.31,VN,1689808083
357,pangkalanbuun,-2.6833,111.6167,22.98,99,56,0.9,ID,1689808264
358,freetown,8.484,-13.2299,26.84,83,75,3.6,SL,1689808264
359,nouadhibou,20.931,-17.0347,23.99,73,15,6.17,MR,1689808265
360,vidyayevo,69.3191,32.8049,11.11,97,100,6.89,RU,1689808265
361,hirara,24.8,125.2833,28.11,73,30,2.59,JP,1689808265
362,kayangel,8.0823,134.7173,28.44,80,100,9.73,PW,1689808265
363,brookings,44.3114,-96.7984,28.47,57,0,5.66,US,1689808265
